nBlocks,directCall,discreteCall,directCallErr,discreteCallErr,directPut,discretePut,directPutErr,discretePutErr
262,14.922,15.1075,0.117386,0.130165,5.40338,5.43337,0.0552891,0.053731
263,14.9114,15.1039,0.117423,0.129722,5.40694,5.43067,0.0551944,0.0535955
264,14.9109,15.0929,0.11698,0.1297,5.40616,5.43328,0.0549914,0.0534565
265,14.912,15.0896,0.116545,0.129254,5.41002,5.43857,0.0549204,0.0535178
266,14.913,15.0888,0.116112,0.128772,5.41588,5.44379,0.0550267,0.0535717
267,14.9114,15.0894,0.115689,0.128292,5.41588,5.44501,0.054821,0.0533853
268,14.9232,15.0769,0.115863,0.128426,5.41645,5.44648,0.0546199,0.0532069
269,14.9235,15.0839,0.115434,0.128144,5.41222,5.44407,0.0545817,0.0530642
270,14.9239,15.0776,0.115008,0.127827,5.41083,5.44318,0.0543977,0.0528756
271,14.9154,15.0924,0.114899,0.128218,5.41112,5.43792,0.0541981,0.0529428
272,14.9077,15.0897,0.114741,0.127778,5.41721,5.4355,0.0543426,0.0528038
273,14.9035,15.0837,0.114396,0.127448,5.41783,5.43665,0.0541474,0.0526231
274,14.9043,15.0836,0.113982,0.126984,5.41321,5.43457,0.0541474,0.0524725
275,14.9008,15.1006,0.113622,0.127664,5.4166,5.43407,0.0540574,0.0522844
276,14.9039,15.1189,0.113255,0.128512,5.41671,5.43119,0.053862,0.0521746
277,14.9095,15.1211,0.112982,0.128068,5.41479,5.4324,0.0537022,0.0520006
278,14.9017,15.1139,0.112842,0.127813,5.41668,5.43333,0.0535428,0.0518223
279,14.9077,15.1077,0.112595,0.127506,5.41475,5.43117,0.0533862,0.051682
280,14.9147,15.1103,0.112412,0.127078,5.41344,5.43038,0.0532119,0.0515039
281,14.9219,15.1229,0.112242,0.127257,5.41206,5.42708,0.0530409,0.051427
282,14.9243,15.1327,0.111872,0.127179,5.40759,5.43097,0.0530414,0.0513922
283,14.9106,15.1455,0.112318,0.127384,5.41495,5.43073,0.0533635,0.0512115
284,14.9076,15.1501,0.111964,0.127019,5.41306,5.42924,0.0532094,0.0510532
285,14.9146,15.155,0.11179,0.126668,5.41229,5.4293,0.0530286,0.0508745
286,14.9097,15.165,0.111504,0.126616,5.41564,5.42429,0.0529495,0.0509447
287,14.9147,15.1627,0.111224,0.126197,5.41314,5.43394,0.0528246,0.0516773
288,14.9182,15.1552,0.110896,0.12598,5.41408,5.44241,0.0526498,0.0521901
289,14.9192,15.142,0.110517,0.126233,5.41558,5.44724,0.0524894,0.0522332
290,14.9203,15.1478,0.110143,0.125929,5.41532,5.44612,0.0523093,0.0520654
291,14.9195,15.1449,0.109768,0.125531,5.41562,5.44648,0.0521307,0.0518881
292,14.9158,15.1414,0.109457,0.125149,5.41438,5.44271,0.0519671,0.0518479
293,14.914,15.1441,0.109099,0.124751,5.41784,5.44497,0.0519054,0.0517209
294,14.9115,15.143,0.108756,0.124332,5.41954,5.44462,0.0517572,0.0515465
295,14.9072,15.1349,0.108475,0.124177,5.42132,5.44791,0.0516127,0.0514774
